unilemma,num_forms
accompany,1
acorn,1
across,1
act like,1
adult,1
against,1
aggrieved,1
ahead,1
album,1
almost,1
alphabet,1
although,1
always,1
amuse,1
answer,1
anybody,1
apartment,1
aside,1
at all,1
backward,1
ball pit,1
bar,1
bark,1
bathhouse,1
beak,1
bed bug,1
beet,1
bend,1
best,1
bi boo (siren),1
bikini,1
birch,1
birthday,1
bleed,1
blender,1
bloom,1
bold,1
bone,1
borrow,1
boss,1
both,1
bottle opener,1
boulder,1
bounce,1
brain,1
brave,1
bride,1
brighten,1
brother's name,1
brrr,1
bull,1
bulldozer,1
bully,1
burst,1
bus stop,1
butcher,1
c'mere,1
cabinet,1
calendar,1
can opener,1
can you?,1
car seat,1
caress,1
cassette,1
castle,1
cauliflower,1
caviar,1
chestnut,1
chickpea,1
childish,1
chimney sweep,1
chocolate mousse,1
chop,1
clam,1
closed,1
closer,1
clumsy,1
coffee table,1
colors,1
come out,1
commiserate,1
concert,1
coo coo,1
cooker,1
cool (action),1
cot,1
cotton,1
crane (vehicle),1
crash,1
cricket,1
croissant,1
croquette,1
crush,1
cushion,1
cutlet,1
cycle (verb),1
dangerous,1
deep,1
delightful,1
dentist,1
detergent,1
did not,1
dim,1
ding dong,1
dishwasher,1
dismantle,1
ditch,1
divide,1
does,1
don't like,1
doorman,1
dove,1
drain (object),1
drawn,1
dress shoe,1
drum (verb),1
dumb,1
each other,1
earth,1
eight,1
either,1
else,1
elsewhere,1
entire,1
erase,1
eraser,1
everybody,1
everyday,1
excavator,1
excellent,1
expensive,1
explode,1
far away,1
fart,1
fasten,1
fish tank,1
fixed,1
flip,1
float,1
flood (action),1
flour,1
flow,1
fluffy,1
flush,1
flying bugs,1
foggy,1
fold,1
fool,1
football,1
frighten,1
from here,1
from him,1
from me,1
from there,1
from us,1
from you,1
frozen,1
fry,1
fur,1
further,1
ga ga,1
gain,1
garbage man,1
gather,1
get cut,1
gift (action),1
gingerbread,1
glue (action),1
go around,1
gone,1
gonna,1
good afternoon,1
goodbye,1
gorilla,1
gotta,1
granola,1
grasp,1
gravy,1
greenhouse,1
grey,1
grimy,1
group,1
grumpy,1
gut,1
had to,1
hair tie,1
hairpin,1
hall,1
handkerchief,1
has,1
have an injection,1
have been,1
hazelnut,1
he.dat.sg.,1
he.nom.sg.,1
headband,1
heating,1
heel,1
helmet,1
her (accusative),1
her (possessive),1
here you go,1
hill,1
his/her/their,1
hold hands,1
hollow,1
hope,1
horrible,1
how (connecting),1
hurley,1
i like,1
i love,1
idea,1
immediately,1
in no way,1
in the afternoons,1
in the evenings,1
inflate,1
instead of,1
invite,1
iron (action),1
isn't,1
it/he,1
itch,1
itchy,1
itself,1
join,1
just now,1
kayak,1
kettle,1
kid (goat),1
koala,1
lace (object),1
launch,1
layer of,1
leopard,1
licorice,1
lift,1
light blue,1
lighter,1
liver (food),1
load,1
lock (object),1
lotion,1
lower,1
lunch (action),1
lunchbox,1
lunchtime,1
macaroni,1
magpie,1
mall,1
map,1
mask,1
mass,1
material,1
meal,1
mean,1
measure,1
melt,1
mermaid,1
messy,1
microphone,1
microscope,1
midmorning,1
minibus,1
miserable,1
miss (address),1
mistake,1
mix,1
moist,1
mold,1
most,1
must not,1
neat,1
nephew,1
next,1
niece,1
nine,1
noise,1
nostril,1
not much,1
notebook,1
nowhere,1
octopus,1
off me,1
off you,1
often,1
oil,1
on her,1
on him,1
on me,1
on us,1
on you,1
opposite,1
pack of,1
pan,1
pantyhose,1
paper towel,1
paprika,1
parking lot,1
paw,1
perform,1
perfume,1
pet (action),1
pharmacy,1
piece,1
piggy bank,1
piglet,1
pilaf,1
pill,1
pine,1
pirate,1
plantain,1
play with blocks,1
playgroup,1
playroom,1
pliers,1
pomegranate,1
poor thing,1
possum,1
preschool,1
priest,1
probably,1
promise,1
pull out,1
pump (object),1
puree,1
puzzle (verb),1
quilt,1
quit,1
quite,1
racket,1
rail,1
rainy,1
raise,1
rather,1
rattle (object),1
refuel,1
release,1
resemble,1
rest,1
ribs (food),1
right,1
right (question),1
ring (object),1
robin,1
rock paper scissors,1
rocket,1
rocking horse,1
rodent,1
roll,1
row row your boat,1
ruler,1
runners,1
said,1
sailboat,1
saw,1
scallion,1
scatter,1
scone,1
screwdriver,1
see you later,1
see you tomorrow,1
set,1
seven,1
severe,1
shake hands,1
she.dat.sg.,1
she.nom.sg,1
she/her,1
shine,1
shoelace,1
shoot,1
shut up,1
side,1
singer,1
sister's name,1
six,1
ski (action),1
skis,1
sled (action),1
slice of,1
slippery,1
slug,1
smash,1
smear,1
smeared,1
smooth,1
snap,1
snuffle,1
soccer,1
socket,1
sofa,1
solid,1
some more,1
sort of,1
sound (action),1
sour cream,1
speaker,1
spin around,1
spray,1
spread,1
sprinkles,1
sprouts,1
square,1
stallion,1
stereo,1
stick of,1
stockings,1
stomach,1
stomp,1
strike,1
sunglasses,1
sunny,1
support,1
suspenders,1
sweatshirt,1
switch,1
taco,1
tap,1
tease,1
ten,1
ten fingers,1
terrible,1
that (fem.pl.),1
that (masc.),1
that.masc.pl.,1
themselves,1
thermometer,1
they.dat.pl.,1
they.nom.pl.,1
they/them,1
thief,1
thirst,1
this evening,1
this morning,1
though,1
ticklish,1
times,1
tire (object),1
to here,1
toad,1
toenail,1
too much,1
tortellini,1
traffic,1
trample,1
triangle,1
trumpet,1
tug,1
tumble,1
turnip,1
uncover,1
unwilling,1
up in,1
upset,1
used to,1
value (action),1
van,1
wagon,1
waist,1
wash face,1
wash hands,1
waste,1
water (action),1
waves,1
weak,1
wedding,1
week,1
well (object),1
whatever,1
wheelbarrow,1
where from,1
whether,1
whistle (action),1
whistle (object),1
wife,1
will do,1
wink,1
wire,1
with her,1
with him,1
with me,1
with us,1
with you,1
wombat,1
won't do,1
wooden ladle,1
wrap,1
yawn,1
ye,1
yeah,1
year,1
yet,1
you.gen.sg,1
younger sibling,1
"yours.masc.sg, yours.fem.sg",1
zucchini,1
accident,2
alcohol,2
alert,2
allowed,2
along,2
apricot,2
apron,2
atole,2
attach,2
attic,2
avocado,2
baby chair,2
backpack,2
bang bang,2
basin,2
bat (animal),2
be (verb),2
be able,2
bead,2
beaver,2
beef,2
beetle,2
belly,2
bidet,2
bin,2
bless,2
