WS	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	sounds	ahah	ahah	ahah			
item_2	sounds	baabaa	baa baa	baa baa			
item_3	sounds	bowwow	bow wow			woof woof	
item_4	sounds	choochoo	choo choo	choo choo			
item_5	sounds	cockadoodledoo	cockadoodledoo	cockadoodledoo			
item_6	sounds	grr	grr	grrr			
item_7	sounds	meow	meow	meow			
item_8	sounds	moo	moo	moo			
item_9	sounds	ouch	ouch	ouch			
item_10	sounds	quackquack	quack quack	quack quack			
item_11	sounds	uhoh	uhoh	uh oh			
item_12	sounds	vroom	vroom	vroom			
item_13	sounds	yumyum	yum yum	yum yum			
item_14	animals	ainmhí	animal	animal			
item_16	animals	asal	donkey	donkey			
item_18	animals	trá 	beach	beach			
item_20	animals	béar	bear	bear			
item_21	animals	bó	cow	cow			
item_23	animals	bóindé	ladybird		ladybug	ladybug	
item_25	animals	caora	sheep	sheep			
item_27	animals	capallín	pony	pony			
item_29	animals	capall	horse	horse			
item_31	animals	cat	cat	cat			
item_32	animals	cearc	hen	hen			
item_34	animals	coileach	cock	rooster			
item_36	animals	coileán	puppy	puppy			
item_38	animals	coinín	rabbit	bunny			
item_40	animals	cuileog	fly	fly			
item_42	animals	damhánalla	spider	spider			
item_44	animals	eala	swan	swan			
item_46	animals	éan	bird	bird			
item_48	animals	eilifint	elephant	elephant			
item_49	animals	faoileán	seagull	seagull			
item_51	animals	féileacán	butterfly	butterfly			
item_53	animals	fia	deer	deer			
item_55	animals	frog	frog	frog			
item_56	animals	gabhar	goat	goat			
item_58	animals	gé	goose	goose			
item_60	animals	iasc	fish	fish (animal)			
item_62	animals	lacha	duck	duck			
item_64	animals	lao	calf	calf			
item_66	animals	leon	lion	lion			
item_68	animals	luch	mouse	mouse			
item_70	animals	mactíre	wolf	wolf			
item_72	animals	madra rua	fox	fox			
item_74	animals	madra	dog	dog			
item_76	animals	moncaí	monkey	monkey			
item_77	animals	muc	pig	pig			
item_79	animals	nathair nimhe	snake	snake			
item_81	animals	piongain	penguin	penguin			
item_83	animals	puisín	kitten	kitten			
item_85	animals	préachán	crow	crow			
item_87	animals	séabra	zebra	zebra			
item_89	animals	seilide	snail			snail	
item_91	animals	sicín	chicken	chicken			
item_93	animals	sioráf	giraffe	giraffe			
item_95	animals	spideog	robin	robin			
item_97	animals	teidí	bear	bear			
item_98	animals	tíogar	tiger	tiger			
item_100	animals	turcaí	turkey	turkey			
item_101	animals	uan	lamb	lamb			
item_103	vehicles	bád	boat	boat			
item_105	vehicles	bus	bus	bus			
item_106	vehicles	carr	car	car			
item_108	vehicles	eitleán	aeroplane	airplane			
item_110	vehicles	gluaisrothar	motorbike	motorbike			
item_112	vehicles	héileacaptar	helicopter	helicopter			
item_113	vehicles	jíp	jeep	jeep			
item_114	vehicles	leoraí	lorry	truck			
item_116	vehicles	long	ship	ship			
item_117	vehicles	otharcharr	ambulance	ambulance			
item_119	vehicles	pram	pram	buggy			
item_120	vehicles	rothar	bicycle	bike			
item_122	vehicles	tarracóir	tractor	tractor			
item_124	vehicles	tochaltóir	digger	digger			
item_126	vehicles	traein	truck	truck	train	train	
item_128	vehicles	veain	van	van			
item_129	toys	bábóg	doll	doll			
item_131	toys	balún	balloon	balloon			
item_132	toys	bloic	blocks	block		blocks	
item_134	toys	boilgeoga	bubbles	bubbles			
item_136	toys	bréagán	toy	toy			
item_138	toys	bronntanas	present	present	gift		
item_140	toys	camán	hurley	hurley			
item_142	toys	cluiche	game	game			
item_144	toys	crián	crayon	crayon			
item_145	toys	dathú	colouring	colouring			
item_147	toys	druma	drum	drum			
item_148	toys	gliú	glue	glue			
item_149	toys	gunna	gun	gun			
item_151	toys	leabhar	book	book			
item_153	toys	liathróid	(foot)ball	ball			
item_155	toys	míreanna mearaí	jigsaw	jigsaw puzzle		puzzle	
item_157	toys	peann	pen	pen			
item_159	toys	peannluaidhe	pencil	pencil			
item_161	toys	scéal	story	story			
item_163	toys	sliotar	sliotar	sliotar	ball	ball	
item_164	food_drink	anraith	soup	soup			
item_166	food_drink	arán	bread	bread			
item_168	food_drink	bagún	bacon	bacon			
item_170	food_drink	bainne	milk	milk			
item_172	food_drink	banana	banana	banana			
item_173	food_drink	bia	food	food			
item_175	food_drink	bocaire	muffin			muffin	
item_177	food_drink	burgar	burger	burger			
item_178	food_drink	briosca	biscuit	biscuit			
item_180	food_drink	cabáiste	cabbage	cabbage			
item_182	food_drink	cáca	cake	cake			
item_184	food_drink	caife	coffee	coffee			
item_185	food_drink	cairéid	carrot	carrot			
item_187	food_drink	cáis	cheese	cheese			
item_189	food_drink	calóg arbhair	cornflakes	cornflakes			
item_191	food_drink	caora fínúna	grapes	grapes			
item_193	food_drink	ceapaire	sandwich	sandwich			
item_195	food_drink	cnaipíní sicín	chicken nuggets	chicken nuggets			
item_197	food_drink	cnónna	nuts	nuts			
item_199	food_drink	coke	coke	soda			
item_200	food_drink	criospaí	crisps	crisps			
item_202	food_drink	cucumber	cucumber	cucumber			
item_203	food_drink	deoch	drink	drink (liquid)			
item_205	food_drink	taoschnó	donut			pastry	
item_207	food_drink	feoil	meat	meat			
item_209	food_drink	glóthach	jelly	jelly			
item_211	food_drink	iasc	fish	fish (food)			
item_213	food_drink	im	butter	butter			
item_215	food_drink	iógart	yoghurt	yogurt			
item_216	food_drink	ispíní	sausages	sausages			
item_218	food_drink	leite	porridge	porridge			
item_220	food_drink	liamhás	ham	ham			
item_222	food_drink	líreacán	lollipop	lollipop			
item_224	food_drink	mil	honey	honey			
item_226	food_drink	milseáin	sweets	sweets			
item_228	food_drink	oráiste	orange	orange (food)			
item_230	food_drink	pancóg	pancake	pancake			
item_232	food_drink	pasta	pasta	pasta			
item_233	food_drink	piorra	pear	pear			
item_235	food_drink	pizza	pizza	pizza			
item_236	food_drink	piseanna	peas	peas			
item_238	food_drink	pónairí	beans	beans			
item_240	food_drink	práta	potato	potato			
item_242	food_drink	reoiteog	icepop	ice pop			
