WS	TC	IC	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1			sounds	喂？		hello			
item_2			sounds	旺旺（狗叫）	woof woof	woof woof			
item_3			sounds	喵（猫叫）	meow	meow			
item_4			sounds	嘀嘀（汽车声）	vroom	vroom			
item_5			sounds	哎哟					
item_6			sounds	呀					
item_7			sounds	咩咩（羊叫声）	baa baa	baa baa			
item_8			sounds	嘎嘎（鸭子叫）	quack quack	quack quack			
item_9			sounds	嘎嘎达（鸡叫）			cluck	cluck	
item_10			sounds	梆梆（打枪）	bang	bang			
item_11			sounds	喳喳（鸟叫）	tweet tweet	tweet tweet			
item_12			sounds	嗷（狮子叫）	roar			roar	
item_13	item_99	item_198	people	妈妈	mommy	mommy			
item_14	item_84	item_197	people	爸爸	daddy	daddy			
item_15	item_101	item_202	people	奶奶	grandma	grandma			
item_16	item_97	item_210	people	姥姥	grandma	grandma			
item_17	item_108	item_203	people	爷爷	grandpa	grandpa			
item_18	item_98	item_211	people	姥爷	grandpa	grandpa			
item_19	item_85	item_199	people	宝宝	baby	baby			
item_20			people	自己的名字	child's own name	child's own name			
item_21	item_83	item_200	people	阿姨	aunt	aunt			
item_22	item_91	item_207	people	姑姑	aunt	aunt			
item_23	item_104	item_213	people	叔叔	uncle	uncle			
item_24			people	伯伯（大大）	uncle	uncle			
item_25	item_95	item_205	people	舅舅	uncle	uncle			
item_26	item_93	item_204	people	姐姐	sister	sister			
item_27	item_100	item_212	people	妹妹	sister	sister			
item_28	item_90	item_201	people	哥哥	brother	brother			
item_29	item_89	item_209	people	弟弟	brother	brother			
item_30			people	小朋友的名字		friends' names			
item_31			people	大妈					means 'aunt' as a general term for an older female
item_32			people	人	person	person			
item_33			people	孩子/小孩/小朋友		child			
item_34	item_103		people	女孩	girl	girl			
item_35	item_102		people	男孩	boy	boy			
item_36			people	男人	man	man			
item_37	item_96		people	老师	teacher	teacher			
item_38	item_94		people	警察	policeman	policeman			
item_39			people	医生/大夫		doctor			
item_40			people	唐老鸭			donald duck		Disney character
item_41			people	米老鼠			mickey mouse		Disney character
item_42			people	孙悟空			sun wukong		Traditional Chinese story character
item_43			people	猪八戒			zhu bajie		Traditional Chinese story character
item_44			people	朋友	friend	friend			
item_45	item_589	item_173	games_routines	要	want	want			
item_46	item_177	item_187	games_routines	不要	don't	don't			
item_47			games_routines	再见/Byebye	bye	bye			
item_48	item_200	item_184	games_routines	谢谢	thank you	thank you			
item_49			games_routines	撒尿/尿尿	pee	pee			
item_50			games_routines	拉屎/拉臭臭	poop	poop			
item_51	item_178	item_189	games_routines	吃饭	eat	eat			
item_52	item_197	item_186	games_routines	洗澡	bath	bath			
item_53			games_routines	休息/歇会儿	nap	nap			
item_54			games_routines	买(东西)	buy	buy			
item_55			games_routines	打（电话）	phone	call on phone			
item_56		item_183	games_routines	藏猫猫	hide and seek	hide and seek			
item_57			games_routines	抓（逮）住了!	catch	catch			
item_58			games_routines	你拍一，我拍一	clap	clap			
